Generation	Average	Best
1	0	0
2	0.2561	0.7509
3	0.2927	0.7198
4	0.3354	0.6875
5	0.4014	0.8029
6	0.4271	0.8052
7	0.4534	0.7947
8	0.5274	0.7958
9	0.5973	0.8229
10	0.5599	0.8108
11	0.607	0.8857
12	0.6134	0.8199
13	0.6303	0.7948
14	0.6094	0.8145
15	0.5905	0.8109
16	0.5751	0.8451
17	0.5909	0.8368
18	0.5992	0.7848
19	0.5755	0.8109
20	0.5733	0.7815
21	0.5966	0.8485
22	0.5789	0.8413
23	0.5736	0.8395
24	0.549	0.8409
25	0.5634	0.8237
26	0.5537	0.8226
27	0.5809	0.8315
28	0.5811	0.8811
29	0.6184	0.8351
30	0.606	0.8317
31	0.5917	0.8385
32	0.5926	0.8561
33	0.6097	0.834
34	0.5707	0.8104
35	0.5675	0.8221
36	0.595	0.832
37	0.5698	0.7999
38	0.5914	0.7686
39	0.5967	0.8116
40	0.5957	0.7921
41	0.5931	0.7951
42	0.5446	0.789
43	0.6162	0.7911
44	0.573	0.81
45	0.5996	0.8071
46	0.6275	0.8324
47	0.5857	0.8192
48	0.5711	0.8265
49	0.5574	0.8047
50	0.5673	0.8104
51	0.6142	0.8303
52	0.5987	0.8068
53	0.5892	0.8468
54	0.5886	0.8502
55	0.5507	0.838
56	0.5945	0.8024
57	0.5911	0.8458
58	0.5793	0.8238
59	0.5905	0.821
60	0.5998	0.8017
61	0.6237	0.8307
62	0.6116	0.8572
63	0.5864	0.8586
64	0.6171	0.8676
65	0.5971	0.8978
66	0.5758	0.8789
67	0.585	0.8598
68	0.5885	0.8461
69	0.5907	0.8328
70	0.5608	0.8001
71	0.6036	0.8487
72	0.6217	0.848
73	0.5923	0.8906
74	0.5998	0.8474
75	0.5854	0.7883
76	0.5542	0.8771
77	0.5965	0.9078
78	0.5813	0.9032
79	0.5845	0.9023
80	0.5885	0.8637
81	0.6032	0.821
82	0.6319	0.8807
83	0.5821	0.884
84	0.6068	0.8764
85	0.6368	0.9062
86	0.6173	0.8999
87	0.6101	0.8778
88	0.6144	0.8786
89	0.6635	0.8835
90	0.6289	0.9008
91	0.6381	0.9115
92	0.6345	0.8945
93	0.6222	0.9096
94	0.6111	0.907
95	0.6328	0.9046
96	0.6756	0.9134
97	0.673	0.9328
98	0.6881	0.9223
99	0.6728	0.9236
100	0.6871	0.9275
101	0.6359	0.9371
102	0.665	0.933
103	0.6897	0.9384
104	0.6524	0.9371
105	0.6293	0.926
106	0.638	0.9269
107	0.6209	0.9338
108	0.6384	0.9231
109	0.6387	0.9387
110	0.6315	0.919
111	0.6506	0.9267
112	0.6459	0.9337
113	0.6459	0.9332
114	0.7437	0.9326
115	0.6877	0.9179
116	0.656	0.9266
117	0.633	0.9287
118	0.6178	0.9154
119	0.6747	0.9049
120	0.6346	0.9356
121	0.6962	0.9217
122	0.6629	0.9224
123	0.6598	0.9254
124	0.6282	0.9354
125	0.6551	0.9306
126	0.6209	0.9223
127	0.5744	0.9297
128	0.631	0.9279
129	0.6456	0.9317
130	0.6606	0.9306
131	0.6281	0.934
132	0.6264	0.9465
133	0.5837	0.9443
134	0.6936	0.9378
135	0.7201	0.9453
136	0.6888	0.9459
137	0.7255	0.9498
138	0.7572	0.9333
139	0.6913	0.9318
140	0.6867	0.931
141	0.7025	0.9386
142	0.6639	0.9181
143	0.7074	0.9264
144	0.6705	0.9246
145	0.7004	0.9303
146	0.671	0.9249
147	0.6983	0.921
148	0.6403	0.9199
149	0.6771	0.9317
150	0.6324	0.9084
151	0.6667	0.9332
152	0.6533	0.9156
153	0.603	0.9242
154	0.6082	0.924
155	0.5893	0.916
156	0.649	0.9024
157	0.6368	0.9183
158	0.6402	0.9305
159	0.603	0.9264
160	0.607	0.912
161	0.6059	0.9097
162	0.6216	0.9401
163	0.6496	0.9327
164	0.6246	0.9246
165	0.6363	0.8799
166	0.6156	0.9027
167	0.641	0.924
168	0.6104	0.9299
169	0.635	0.9076
170	0.6258	0.9237
171	0.6493	0.9245
172	0.6352	0.923
173	0.6591	0.9205
174	0.6824	0.9195
175	0.6672	0.9222
176	0.6271	0.925
177	0.6516	0.9343
178	0.6369	0.929
179	0.6352	0.9024
180	0.6443	0.9362
181	0.6717	0.9241
182	0.6575	0.9342
183	0.6855	0.9498
184	0.6955	0.9294
185	0.686	0.9286
186	0.6547	0.9431
187	0.6614	0.9218
188	0.6841	0.9175
189	0.6788	0.9148
190	0.6839	0.9258
191	0.6875	0.9329
192	0.6719	0.9208
193	0.6462	0.9313
194	0.6161	0.9094
195	0.666	0.9111
196	0.6737	0.9298
197	0.6744	0.9263
198	0.691	0.9205
199	0.6551	0.9093
200	0.6725	0.93
201	0.6342	0.9277
202	0.6795	0.926
203	0.6794	0.9197
204	0.7028	0.9353
205	0.7111	0.9231
206	0.6989	0.9338
207	0.6989	0.9309
208	0.7335	0.9335
209	0.724	0.9338
210	0.7339	0.925
211	0.7204	0.9263
212	0.6742	0.9316
213	0.6973	0.9379
214	0.7639	0.9298
215	0.7241	0.9307
216	0.6892	0.93
217	0.6466	0.9154
